"materialid","nombre"
"2061494","SH0,8_CR_DC01_Am_LO 1000x2000"
"2061505","SH0,8_HD_DX51D+Z275_MA_CE 1000x2000"
"2061518","SH0,8_HD_DX51D+Z275_MA_CE 1250x2500"
"2010295","SH1_CR_DC01_Am_LO 1000x2000"
"2010296","SH1_CR_DC01_Am_LO 1250x2500"
"2010297","SH1_CR_DC01_Am_LO 1500x3000"
"2010329","SH1_HD_DX51D+Z275_MA_CE 1000x2000"
"2010331","SH1_HD_DX51D+Z275_MA_CE 1500x3000"
"2168813","SH1,2_CR_DC01_Am_LO 1000x2000"
"2168830","SH1,2_HD_DX51D+Z275_MA_CE 1000x2000"
"2168831","SH1,2_HD_DX51D+Z275_MA_CE 1250x2500"
"2010291","SH1,5_CR_DC01_Am_LO 1000x2000"
"2190018","SH1,5_HB_PRESS_REPUJADA_B 2000x1000"
"2190019","SH1,5_HB_PRESS_REPUJADA_C 2000x1000"
"2175350","SH1,5_HB_PRESS_S235JR+AR-CL1_ 2000x1000"
"2061410","SH1,5_HB_S235JR+AR-CAT.A 1000x2000"
"2061411","SH1,5_HB_S235JR+AR-CAT.A 1250x2500"
"2010325","SH1,5_HD_DX51D+Z275_MA_CE 1000x2000"
"2010326","SH1,5_HD_DX51D+Z275_MA_CE 1250x2500"
"2010327","SH1,5_HD_DX51D+Z275_MA_CE 1500x3000"
"2190020","SH1,5_HD_PRESS_REPUJADA_B 2000x1000"
"2018218","SH10_HB_S235JR+AR-CAT.A 1500x3000"
"2061212","SH10_HB_S275JR+AR-CAT.A"
"2111524","SH10_HB_S275JR+AR-CAT.A 1500x3000"
"2165576","SH15_HB_S275JR+AR-CAT.A 1500x3000"
"2061421","SH2_HB_S235JR+AR-CAT.A 1000x2000"
"2010340","SH2_HD_DX51D+Z275_MA_CE 1000x2000"
"2010342","SH2_HD_DX51D+Z275_MA_CE 1500x3000"
"2010273","SH2_HP_DD11-CAT.A_LO 1500x3000"
"2019834","SH20_HB_S235JR+AR-CAT.A 1500x3000"
"2117485","SH3_CR_DC01_Am_LO 1500x3000"
"2018222","SH3_HB_S235JR+AR-CAT.A 1000x2000"
"2010369","SH3_HB_S235JR+AR-CAT.A 1500x3000"
"2061316","SH3_HB_S235JR+AR-CAT.A 1500x6000"
"2146588","SH3_HB_S235JR+AR-CAT.A_1N"
"2062732","SH3_HD_DX51D+Z275_MA_CE 1000x2000"
"2062734","SH3_HD_DX51D+Z275_MA_CE 1500x3000"
"2018225","SH4_HB_S235JR+AR-CAT.A 1000x2000"
"2018226","SH4_HB_S235JR+AR-CAT.A 1500x3000"
"2061325","SH4_HB_S235JR+AR-CAT.A 1500x6000"
"2018208","SH4_HP_DD11-CAT.A_LO 1500x3000"
"2018228","SH5_HB_S235JR+AR-CAT.A 1000x2000"
"2010388","SH5_HB_S235JR+AR-CAT.A 1500x3000"
"2061221","SH5_HB_S235JR+AR-CAT.A 1500x6000"
"2018212","SH5_HP_DD11-CAT.A_LO 1500x3000"
